Text,Label
"A pandemic of the novel coronavirus has claimed the lives of more than 47,000 people around the world, including at least 5,116 people in the United States.",INFORMATIVE
Oh great. #ChinaCanada research lab in Winnipeg! Who or What Started the Wuhan Coronavirus Epidemic? HTTPURL @USER,UNINFORMATIVE
"@USER Feb 28: Trump at a rally: “The Democrats are politicizing the coronavirus. This is their new hoax.” Then he minimized the danger of COVID19: “35,000 people on average die each year from the flu. Did anyone know that? … And so far, we have lost nobody to coronavirus in the U.S.”",UNINFORMATIVE
"Indian Prime Minister Narendra Modi has announced an extension of the nationwide lockdown till May 3, as the number of COVID-19 cases crossed 10,000. HTTPURL",INFORMATIVE
"JUST IN: Middletown's mayor has confirmed the city's first case of COVID-19. The latest on Ch. 3 on air, the app HTTPURL",INFORMATIVE
"TROUBLE BREWING !!! So some supermarkets are offering an ""NHS Staff ONLY"" shopping hour &amp; a ""Pensioners ONLY"" shopping hour. Therefore looking after those most likely to be infected with #COVIDー19 and those most vulnerable. HINT: Make it a ""DIFFERENT HOUR"" of the Day !!!",UNINFORMATIVE
"COVID-19 Update | March 30, 2020 (5/5): Planning Commission will host its April 1 meeting virtually. From 1 p.m. until 3 p.m., it will be available via: Access: HTTPURL Phone: +1 (646) 749-3122 Access Code: 866-427-605 For more, visit HTTPURL",UNINFORMATIVE
"Dear fellow #Ontarians, “The more you test, the more you find.” Both BC &amp; AB appear to have higher per capita #covid19 cases than #ON, but that says more about ON’s lower testing rate than anything else: 1/3 or 1/5 the tests. BTW, countries testing most flatten the curve most",UNINFORMATIVE
"Due to negligence Covid-19 cases are rising significantly in Italy, Spain,France etc. 👉13 doctors have died treating Corona patients and 2,600 health workers are infected with Corona in Italy as of yesterday. 👉627 people died yesterday alone, 4100 people died @USER HTTPURL",INFORMATIVE
the 2 sides of coronavirus opinions on twt it is nothing theres nothing going on more like 2 deaths smh fear mongering its just like the flu this was made by my wifes boyfriend and he unleashed it in china because the sun and moon were aligned perfectly when he unleashed it,UNINFORMATIVE
"[ #Apple #Spring 2020 Announcements : Everything Announced 212 ] - In fact, out of the mist a date has emerged for the next big Apple event : March 31, 2020 But will it actually happen? Thanks to the #Coronavirus, the probability of a HTTPURL",UNINFORMATIVE
"I work at BGC, sa 26th street din, kakatakot that Deloitte just confirmed they have an employee na positive for COVID-19, but atleast they're transparent. Keep safe guys, always wear mask and wash your hands.",INFORMATIVE
"An 80-year-old woman from Taytay, Rizal died after contracting the contagious coronavirus disease 2019 (COVID-19), the Taytay Municipal Office has reported. | @USER HTTPURL",INFORMATIVE
"The DOJ and HHS announced the DOJ’s COVID-19 Hoarding and Price Gouging Task Force has acquired hoarded personal protective equipment, including 192,000 N95 masks, 598,000 medical grade gloves, and 130,000 surgical masks #COVID19 HTTPURL",UNINFORMATIVE
First ten doctors named as having died from #coronavirus were all #BAME. It’s important to investigate #COVID__19 deaths of BAME doctors &amp; other individuals so that further deaths can be prevented. HTTPURL,INFORMATIVE
The world has seen 8000 COVID-19 deaths in just the past 24 hours. That is nearly 3 times the total number of reported deaths from China where the Coronavirus originated (possibly in a lab). Will there ever be accountability?,INFORMATIVE
Here is more information on the patient who tested presumptive positive for #COVID19 today at Methodist Hospital. She has been transferred to the biocontainment unit at the University of Nebraska Medical Center: HTTPURL HTTPURL,INFORMATIVE
@USER I want to know where they work &amp; WHERE IN #DENVER THEY WERE BEFORE QUARANTINE! McDonald's drive thru? Local gym? Grocery store or Walgreens? I WANT INFO &amp; I WANT IT YESTERDAY! #CoronavirusUSA 2 new cases of novel coronavirus reported in Denver HTTPURL,INFORMATIVE
"DCLG, Dept of Ed, Health cld coordinate chemicals for #COVID19 testing (reportedly available in UK) co-opting university labs; hubs to do tests in all localities, w/ admin staff for tracing contacts of all positive cases, government certification to quarantine all contacts of +ve",UNINFORMATIVE
Coronavirus: Trump hurls insults as 21 cases confirmed on cruise ship HTTPURL #health #access2meds,INFORMATIVE
"“We are not going to have the real recovery in the market until what we think is the peak in the amount of infections and deaths,” Stephen Dover, head of equities at Franklin Templeton. If you care about the economy, stay home and get everyone else to, so we can end #COVID19",UNINFORMATIVE
"#Climate stress and #coronavirus gang up on world's vulnerable. HTTPURL From #Italy to #India, countries around the world are reeling from erratic weather - in many cases linked to #climatechange - and a deadly #pandemic. #COVID19",UNINFORMATIVE
"@USER @USER When this pandemic is over, congress needs to investigate Trump, his kids and Oscar Health. Jared Kushner’s brothers company. Something seems extremely suspect with this story and the Covid-19 test kits. Something is amiss. Follow the money.",UNINFORMATIVE
Several African states like Ethiopia have declared a State of Emergency with only 52 cases of #Covid19. What factors determine the declaration of SOE subsequent to a pandemic outbreak such as this? Dr. @USER @USER @USER #HaveYourSay,INFORMATIVE
AIPAC - a pro Netanyahu group- says 2 people at DC conference attended by Pence &amp; Pompeo tested positive for coronavirus. Did Pence &amp; Pompeo meet with Trump in his office? I recommend all 3 be quarantined in the Situation Room for 14 days. HTTPURL via @USER,INFORMATIVE
"Ten makeshift #tents were set up by Red Cross at central #jail targeting inmates and staff, if needed to quarantine #COVID2019 suspects. Also, #Nepal #RedCross provided information &amp; reading materials to detainees of #prisons in districts. HTTPURL @USER @USER HTTPURL",UNINFORMATIVE
"I’ll be live on @USER tonight from 23:00, with Vol II of ‘The Numbers Suite’. Come and join me and the rest of the DJ gang tonight at the #PandemicParty on HTTPURL #COVID19",UNINFORMATIVE
"❌Over $160,000 (and counting) lost in wages just this week. ❌Over 250 Jobs lost (and counting) ❌Over 900 shifts lost (and counting) This is the impact of the #Coronavirus for 1 in 3 workers across Australia. #auspol HTTPURL",UNINFORMATIVE
"(CNET News):#Coronavirus updates: Cases spread across US as global total tops 100,000 - #CNET : Here's the latest on the COVID-19 outbreak, with the coronavirus spreading to Pennsylvania, Indiana, Minnesota, Kentucky and Hawaii .. HTTPURL HTTPURL",INFORMATIVE
"The corona virus cases in Ghana is moving like the Eve people's dance.... It moves forward, comes back and move forward again ... 19 #Covid_19 cases now ehii 🙊🙊💔",UNINFORMATIVE
"Despite the constant negative press covfefe Covfefe = COVID-19 Q was right all along! Schumer a snake, pelosi a snake! Praise Q! You'll be sick of winning 💪 #Anon #QAnon",UNINFORMATIVE
JUST IN: Health Ministry reports three more cases of #COVID19 in Jamaica pushing the tally to 58. New cases: 41-year-old female from St Ann no travel history; 52-year-old male from Portland travelled from Brazil; 41-year-old female from Clarendon who travelled from from New York.,INFORMATIVE
Thanks to del Valle Brewing for supplying free beer for all things comedy and podcast related during this #Covid_19 outbreak. Oronde Bagsden approved! #FinsUp HTTPURL,UNINFORMATIVE
"- Daring lesbians, gays insist conference will be held in Ghana; ask for donor support - FULL TEXT: Akufo-Addo's speech at 63rd Independence Day celebration - US-based Ghanaian woman with symptoms of Coronavirus at Korle-Bu tests negative",INFORMATIVE
"#Cyprus and #COVID19 - What I cannot comprehend, do we have to have a few dozen tested positive for the virus to enforce stricter measures? All checkpoints to and from the occupied area should be closed and open only for emergency incidents. All schools must shut down.",UNINFORMATIVE
"Africa has had to take a more proactive role in learning from the successes and failures of Asian, European, and American partners in shaping her own response to COVID-19 to protect African populations, minimize case importation, and avert a large-scale epidemic.",UNINFORMATIVE
"The USA is #1 in the world for COVID-19 positive cases. Germany is #5 with around 62,500 cases .... the USA more than DOUBLES them with 142,793. This is very real stop downsizing it",INFORMATIVE
@USER @USER So far my last weekend sucks &amp; i hate coronavirus but it's going little better. waiting 4 new persona JRPG game released for bit so i bought it yesterday,UNINFORMATIVE
"So thanks to Trump's failure to act &amp; follow information from Doctors, America now has a 1/4 of the worlds Covid-19 cases &amp; the worlds highest death rate due to Virus. Yet we still see 8 states without lock downs or distancing ??? @USER @USER @USER @USER HTTPURL",UNINFORMATIVE
"@USER @USER 4/2 Bill Hemmer just interviewed a nurse from this field hospital &amp; asked how Mt. Sinai is doing knowing that the field hospital has to accept the ""overflow of #COVID19 patients across the street."" She did not refute this statement &amp; confirmed that Mt Sinai was overwhelmed.",UNINFORMATIVE
"MSM &amp; #Democrats are radio silent about Iranian, Javed Zarif, who DIED of #CoronaVirus #COVIDー19 🤔 3 [D] Senators &amp; John Kerry had a Secret &amp; Unauthorized Meeting with Javel Zarif... less than 3 wks ago! WHY are [they] NOT quarantined? #TheMoreYouKnow HTTPURL",INFORMATIVE
CS Kagwe: In the last 72 hours we have received an additional of 8 new cases bringing the number of those positive for Coronavirus to 15. Five are Kenyans. We are tracing 363 contacts #CoronaVirusUpdate ^MK HTTPURL,INFORMATIVE
There's a warning hospitals in Italy are on the verge of collapse due to the number of patients being admitted with #coronavirus A record 627 deaths have been recorded in the country in the last 24 hours. #CoronaCrisis #CoronaVirusUpdate HTTPURL,INFORMATIVE
Covid19 India update : Punjab state : Police have deployed 15 drone cameras in Ludhiana to monitor the situation amid lockdown due to #COVID19. SOURCE : ANI HTTPURL,UNINFORMATIVE
#Update @USER Maryland @USER details new information after 3 Coronavirus cases were confirmed in Maryland by officials. HTTPURL HTTPURL,INFORMATIVE
"MTV correspondent: Members of the security forces, state security and the army are deployed on roads; the first #coronavirus test of a woman who gave birth to a child yesterday showed a negative result",INFORMATIVE
Canada currently has more #COVIDー19 cases (51) than does the United States (336) so let's not be such smug asses about Trump being stupid. This might be a serious matter. Greater than politics. #CoronaVirusCanada,INFORMATIVE
"'Conversations with Care Homes'- the new My Home Life England YouTube channel! We're giving #carehomes a voice, as well as strength, support &amp; solidarity in light of COVID-19. We'll be hearing real situations &amp; sharing ideas for practice &amp; positive change: HTTPURL",UNINFORMATIVE
"@USER Wow, meanwhile Australia lets infected Ocean liners unload in the heart of Sydney #shutourschools HTTPURL #auspol #coronavirus #stayhome",UNINFORMATIVE
"GROUND ZERO Wuhan Dr: 70 yr old diabetes/poor health mother contracts #coronavirus but stable w/Vitamin C. - then diagnosed &amp; hospitalized, on iron lung W/O Vit C. - Family convinces doctors to restart Vit C and she recovers - Family on C spared HTTPURL",INFORMATIVE
"@USER URGENT: This is Gregory Hodge. He was a first responder/EMT in NY City and worked on the rescue, recovery and aftermath of 9/11. He spent 24 years as a NYC First Responder/EMT. Today, at 59, he died of Coronavirus. Donald Trump, this hero's blood is on your hands! HTTPURL",INFORMATIVE
"From 22nd March, No International flights. The three members of a Rajasthan family who had recently returned from Italy and tested positive for coronavirus were rushed to Jaipur’s Sawai Man Singh Hospital on March 19. HTTPURL",INFORMATIVE
"If your neighbor is dying of hunger and has not eaten for the past 7 days please write to us in case I can’t see notifications on Twitter. Address to Presidency sir, covid-19 hunger relief funds. Mail to contactseun7@USER OFFICE OF THE PRESIDENCY AT THE GF",UNINFORMATIVE
"@USER @USER @USER @USER @USER I had flu in Jan, had the Quadrivalent flu vaccine (4 strains). Had low grade fever 3 days, aches, bit of phlegm in lungs, weak 3 weeks. I've had my suspicions, but people w Covid get HIGH fevers WHO: if you're sick w fever DON'T take Ibuprofen it makes you sicker, take Tylenol",UNINFORMATIVE
"@USER @USER @USER @USER @USER ""The CDC learned of a cluster of cases in China on Dec. 31 and began developing reports for HHS on Jan. 1. But the most unambiguous warning that U.S. officials received about the coronavirus came Jan. 3...""",UNINFORMATIVE
"As #OyoState, #Ibadan records the first confirmed case of #COVID19NIGERIA eternal vigilance is now key. With the third highest population in #Nigeria, citizens must join hands with gvt to curtail the spread🙏🙏#CoronaVirusOyo #COVIDー19 HTTPURL via @USER",INFORMATIVE
"Coronavirus Updates: A South San Francisco man died late Saturday night from COVID-19 after waiting more than 4 hours for an ambulance from the Coral Princess cruise ship, the latest in a string of vessels to get infected by the coronavirus while at sea. HTTPURL",INFORMATIVE
"@USER @USER @USER Indiana has a population of 6.7 million. Maryland 6 mil. Ohio, 11 m. Colorado 5.8 m. Texas, 29 m. And each one of them individually have over 300 deaths. None of those states are even in the top 10 of US COVID deaths. Tell me again what total population has to do with anything?",INFORMATIVE
The Queen should decree that any Commonwealth country ban any supporters of trump &amp; deny any access 2 cross their borders due 2 the high potentiality of spreading the COVID19 viral disease😷 Lifting restrictions is a death sentence 2 everyone globally☠️ HTTPURL,UNINFORMATIVE
"Breaking News : Latest Police Report for the last 24 hours : Robbery :0 Crime : 0 Accident:0 Husband and wife fighting 799,613 and the number keeps going 👆 . #Covid_19 #TwitterDoYourThing #StaySafeStayHome #TheBlacklist #CoronavirusPandemic #CoronaStopKaroNa #kot HTTPURL",UNINFORMATIVE
"Esther faced death, “Were you put where for such a time as this?” The #Coronavirus Pandemic challenges use to answer that question. For the first time some are coming face-to-face with the possibility of death. What is God saying to you about death? TONIGHT #HealthyFaith chat. HTTPURL",UNINFORMATIVE
"AMERICA has faced Man-Made &amp; #NaturalDisasters Before But NEVER under @USER Who DELIBERATELY Cut Funds to @USER Fired @USER Experts &amp; Forced @USER to LIE Denied #Science &amp; Stifled #Recovery of #Coronavirus ""Have We Learned Our Lesson?"" @USER @USER @USER @USER @USER",UNINFORMATIVE
"#COVID19 confirmed cases and deaths in the @USER Western Pacific Region as of 10am Manila time on 23 March 👇 For data on #coronavirus in other regions, check daily SitReps: HTTPURL HTTPURL",UNINFORMATIVE
"With coronavirus orthodontist Kyle Fagala turned to virtual appointments to stay in touch with patients. HTTPURL Digital Tools in Dentistry with orthodontist Kyle Fagala DDS MDS, CEO of @USER HTTPURL @USER @USER @USER HTTPURL",UNINFORMATIVE
Jeff Fecke @USER demeans * Roundtable w/ @USER (Union Rep) @USER (One Fair Wage) * Raising $2 million for 5 charities * Holistic Coronavirus Plan * Address to the Nation * Coronavirus Roundtable With Medical Experts (March 9) * MORE HTTPURL,UNINFORMATIVE
"Dr. Abdul Rahim, a spokesman for the doctors’ association leading the protest, told reporters after the incident that the medics believed the failure to supply them with safety gear was putting them at risk. #coronavirus HTTPURL",UNINFORMATIVE
@USER Trump is trying to get away with bad counts/measurements of #coronavirus just like he got away with it in Puerto Rico. He needs to be held to account! Where is Congress? @USER @USER #inners,UNINFORMATIVE
Ohio’s only has 1 death from Chinese Virus..a 76 year old man who recently traveled to California. This is ridiculous to bankrupt Ohio for one death DeWine. This is overblown! #WhenThisIsAllOver #COVIDー19 #FUBAR,INFORMATIVE
"#WorserThanThat, KRISTI~ My Sources Say There Wuzza BIG-ASS #ChinkLab in WUSAN~ Where Bats &amp; Snakes were injected with #CoronaBeer. Unsuspecting Cleaning-Crews were sneaking the B&amp;S carcasses outa the LAB~ &amp; SOLD to #MarketStallFoodVENDERS. Them's DELICACIES, you see. YUM.",UNINFORMATIVE
